Id,ProductClassificationId,Isin,IsSecondaryMarket,Code,ExchangeCode,AssetId,AssetName,AssetCurrency,Currency,Status,FollowCode,IsSiat,AssetNMP,AssetIsin,AssetNMPExchangeCode,AssetDecimalPlaces,AssetRic,MarketingAssetNMPExchangeCode,MarketingAssetNMP,MarketingAssetId,MarketingAssetISIN,MarketingAssetRic,MigratedToOneFlow,MaturityDate,AssetCurrencyRaw,TodayBarrierHitDate,IssueDate,Venue,IsPanther,EsgEligible,FkAssetType,PutOrCall,Ratio,Strike,BarrierTurboCertificate,CurrentLeverage,IsQuanto,Bid,Offer,BrokerLinks,RatioSuffix,StrikeSuffix,BarrierTurboCertificateSuffix,CurrentLeverageDecimalPlaces,_asset_name,_typ,StrategyExtended,FactorLeverage,_spot
6843266,45,DE000FG05713,False,FG0571,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-07-06T00:00:00,,False,,2,Put,100.0,28704.130955,28090.0,9.79032307975707,,26.41,26.42,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5603982,45,DE000FA6K919,False,FA6K91,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-07-02T00:00:00,,False,,2,Put,100.0,27492.364351,26910.0,17.9849865945527,,14.29,14.3,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6841175,45,DE000FG057H3,False,FG057H,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-07-06T00:00:00,,False,,2,Call,100.0,21702.216307,22240.0,6.00328702729478,,43.56,43.57,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6841566,45,DE000FG057M3,False,FG057M,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-07-06T00:00:00,,False,,2,Call,100.0,22266.99289,22820.0,6.90226877328009,,37.9,37.91,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5935492,45,DE000FD2FW52,False,FD2FW5,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-10-10T00:00:00,,False,,2,Put,100.0,29642.620637,29010.0,7.23816734646665,,35.8,35.81,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5936276,45,DE000FD2FWW2,False,FD2FWW,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-10-10T00:00:00,,False,,2,Put,100.0,29522.685646,28900.0,7.48790301762526,,34.6,34.61,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6726755,45,DE000FE6FD67,False,FE6FD6,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-06-02T00:00:00,,False,,2,Call,100.0,20226.6721,20730.0,4.47934744661983,,58.31,58.32,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
3725372,45,DE000SW4C4D0,False,SW4C4D,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2023-10-03T00:00:00,,False,,2,Call,100.0,14992.422959,15370.0,2.35719215915381,,110.65,110.66,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5394573,45,DE000FA0AH54,False,FA0AH5,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-05-06T00:00:00,,False,,2,Put,100.0,27614.393308,27030.0,16.5874268038249,,15.51,15.52,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5394704,45,DE000FA0AHG4,False,FA0AHG,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-05-06T00:00:00,,False,,2,Call,100.0,20664.623569,21180.0,4.84429438138927,,53.92,53.93,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5394016,45,DE000FA0AHL4,False,FA0AHL,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-05-06T00:00:00,,False,,2,Call,100.0,21058.195186,21580.0,5.22727015759707,,49.99,50.0,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
5393732,45,DE000FA0AHZ4,False,FA0AHZ,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2025-05-06T00:00:00,,False,,2,Put,100.0,27454.518952,26870.0,18.4701596288435,,13.92,13.93,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
4547824,45,DE000SY6UR48,False,SY6UR4,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2024-08-07T00:00:00,,False,,2,Call,100.0,19411.679678,19900.0,3.92863560440076,,66.46,66.47,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
6705626,45,DE000FE538D3,False,FE538D,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2026-05-26T00:00:00,,False,,2,Put,100.0,30469.376745,29820.0,5.88525644420904,,44.07,44.08,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
1119152,45,DE000SB8MB34,True,SB8MB3,CBDE,389,DAX 40,Pkt,EUR,65,,False,DEM_DAX_CASH,DE0008469008,CBUL,3,.GDAXI,,,,,,False,,EUR,,2020-09-01T00:00:00,,False,,2,Call,100.0,13538.514942,13880.0,2.08304754958329,,125.18,125.19,,:1, Pkt, Pkt,1.0,DAX 40,turbo,,,26060.866844
