Basiswert,Yahoo,Produkte,Kurs EUR,Vola typisch %,Vola std %,std/MAD,Sprungtage/Jahr,groesster Tag %,engster KO %,KO in Sigma,Hebel,Spread %,Sleeve-Tagesvola %,WKN
Seagate Technology,STX,156,736.1950598209675,5.112497660269659,5.372823655762091,1.050919533424041,25.79527559055118,12.235698947670937,15.443210780791858,3.0206783077485664,5.39906683684258,1.6000000000000014,27.6027165709972,FG6B4W
Broadcom,AVGO,442,311.57348020654047,2.376458827516483,2.7632692046867358,1.1627675483755335,1.984251968503937,12.586859324621802,9.611684663671907,4.044540790010906,11.4034162770305,1.9543973941368098,27.099749275394274,FC7AH0
Robinhood Markets,HOOD,419,108.32218841452918,4.6813159100644866,4.786172009739814,1.0223988514532623,21.826771653543307,16.571645678046675,18.559167529385682,3.9645193543731643,5.77046228759378,1.9512195121951237,27.013356915339877,FG6YPH
Alphabet C (Google),GOOG,616,290.4636230636833,1.5838204332974004,2.2797853914686046,1.4394216311013586,1.984251968503937,9.970920827572826,5.802700193852929,3.6637361609056427,16.8328826592458,1.7142857142857157,26.660263507010985,FC7J2S
IBM,IBM,160,202.88422361852298,1.9813919071336092,3.9590484830869235,1.9981147943691269,7.937007874015748,25.207594284781155,7.473085322985777,3.771634120478848,12.9314209566018,1.9108280254777086,25.62221283114876,FG2UKD
Pfizer,PFE,137,24.559845928731278,1.6666250365549515,1.4385004080903023,0.8631218039684553,0.0,3.633026683002427,5.487668603247077,3.292683406815087,15.2933196438219,0.0,25.48822941043123,FG2TQ9
CrowdStrike Holdings,CRWD,424,184.47151635111874,2.8287525762795984,4.386214108747637,1.5505824530317978,7.937007874015748,20.49900387962671,9.96545782070421,3.522916038775958,8.77405128861377,1.9417475728155356,24.81962018707553,FG32D2
Procter & Gamble (P&G),PG,73,125.41737734549838,1.2203181437129176,1.1938686074348968,0.978325704313839,0.0,4.091486402032141,5.129154943058805,4.203129298277032,20.0045849566702,1.5151515151515165,24.411957980071133,FG23GB
Eli Lilly and Co,LLY,277,989.9104522375216,1.5926110156009428,2.132782275418361,1.3391733791402884,1.984251968503937,9.796636724274844,5.552603420932794,3.4864780957436867,14.9231420009103,1.5873015873015885,23.766760338026838,FG36TP
Palantir Technologies,PLTR,685,152.0962601136168,3.3210928594042057,5.190816505845074,1.5629844528876833,7.937007874015748,29.454836201182122,11.951286614359088,3.598600557198245,7.0449143858201,1.980198019801982,23.396814861861102,FC34JT
Moderna,MRNA,314,126.78532664830435,4.969038910801791,23.598836319241244,4.749175191190724,23.811023622047244,176.96951623021624,20.14056085202231,4.053210532974571,4.67521718525323,1.9157088122605297,23.231336109972524,FG34LM
GE Vernova,GEV,92,812.4766741263556,3.042114169462893,3.6150452091835477,1.1883331814012128,7.937007874015748,13.74559391493091,12.45233688661321,4.0933167504399615,7.58273307424146,1.7288444040036353,23.067539728404864,FG3V3T
Lam Research,LRCX,134,265.43397099328627,5.336482825172182,5.340939121393265,1.0008350624122808,17.858267716535433,17.97899505442311,23.102720395354876,4.329203550769315,3.85596292160336,1.993865030674845,20.57727990563708,FG04JN
Nike,NKE,160,33.197430280599065,2.6455158095911897,2.1399817897949145,0.8089090913902363,1.984251968503937,15.505487834206699,12.341132332322372,4.664924808833193,7.71803936010258,0.0,20.418195146198443,FG5JMP
Occidental Petroleum,OXY,86,51.99407729385437,2.0368750771732826,2.127534499375032,1.0445090733436457,0.0,7.111562537667238,9.000430895775036,4.4187446724840775,9.94441326195335,1.960784313725492,20.255527530384246,FE3W5H
Alibaba Group Holding ADR,BABA,423,97.32630550774527,2.04191433336746,2.809581729277652,1.3759547515610897,5.952755905511811,11.045449393418828,9.880135375464366,4.838663020289573,9.56234263815885,1.8348623853211024,19.525484493427367,FG38MM
Strategy,MSTR,498,125.25469616112929,5.2398784610836335,5.655003858938415,1.079224241733449,19.84251968503937,17.558246979579796,27.59264775330632,5.265894611532654,3.45914820434289,1.9999999999999956,18.125516169632437,FG6HVB
AppLovin,APP,126,274.16084552495704,3.3632219946110773,4.401880053491861,1.3088282785213214,9.921259842519685,19.657725410449757,17.425303143583342,5.181133797145735,5.34791625607878,1.930501930501924,17.98622957778228,FG29AJ
AT&T,T,108,22.265672547332187,1.5980180880785317,1.845893296659823,1.155114144470879,0.0,5.132900767869552,8.461720372833742,5.295134289129464,11.105223930427,0.0,17.74634871298491,FG3A74
Uber Technologies,UBER,80,65.51213461869513,2.2077783429819506,2.6507853187344965,1.2006573608989188,1.984251968503937,8.526389966974502,12.563209810889484,5.690430767574656,7.9279203825018,1.1494252873563229,17.503090925372657,FC4VVT
Arista Networks,ANET,149,167.22430378657486,4.081734005286129,3.6181896910163283,0.8864344629832618,11.905511811023622,13.605923802150999,24.007219301606813,5.881622680585211,4.20247467796478,1.9704433497536855,17.153383799402715,FE50NF
UnitedHealth Group,UNH,179,343.0047632983302,1.6160407651686397,1.4644471105504038,0.9061944117465276,1.984251968503937,9.37234397486053,8.12739587006404,5.029202261006032,10.5821047008584,1.5822784810126667,17.101112577869866,FG2MTG
Adobe,ADBE,256,229.59099784853703,2.994809055566747,3.2328207192709693,1.0794747375502312,0.0,7.583954165488804,17.660226213951038,5.896945643704474,5.64174384929904,1.8691588785046744,16.89594556906876,FC4STH
Coca-Cola Co,KO,93,76.27709122203099,1.1842039532233564,1.4264593564666357,1.2045723649071343,0.0,4.995833190779431,6.091750590462027,5.144173496364814,14.038213737035,1.960784313725492,16.624108203591273,FE6YYE
Johnson&Johnson,JNJ,181,236.09208856946117,1.6476963649940235,1.610134239584538,0.9772032479967134,0.0,3.9937923000193942,9.073813560408485,5.506969459413353,10.055684158284,1.8433179723502322,16.568714235132536,FG5JY1
KLA,KLAC,80,158.99728051299707,4.246420874134795,5.199989836179164,1.2245582786794909,19.84251968503937,12.923529575675552,25.321025668154295,5.962910040873759,3.8555198310338,1.960784313725492,16.372159891142587,FG1XB1
Oracle,ORCL,179,139.07480547426408,3.9969364240222927,3.681072285704624,0.9209734394524592,15.874015748031496,12.694618903749522,20.37301521467375,5.097157686128891,4.02021030806407,1.9108280254777086,16.06852501253116,FE6Y5V
Linde,LIN,225,410.87881907385093,1.2436014415046117,1.320993074261195,1.0622318615704953,0.0,5.9491996095785264,7.734021370062666,6.2190514677318225,12.6025643650886,1.9999999999999956,15.672567211078835,FG2VY6
Zscaler,ZS,86,147.89941642279223,3.581138366742865,3.32758362599677,0.9291971672748548,13.88976377952756,31.52221046448711,23.700553191255096,6.618161814510212,4.29694147624779,1.9774011299434981,15.387941980239686,FG0XG3
